ID,Curso,Status,Link,Conteudista,Horas
301,Teletrabalho e Educação a Distância,Normal,https://www.escolavirtual.gov.br/curso/301,Fundação CEPERJ,8h
303,S2ID - M1 - Usuário Estadual - Registro e Reconhecimento,Normal,https://www.escolavirtual.gov.br/curso/303,Ministério da Integração e Desenvolvimento Regional,50h
266,Inventário Participativo,Normal,https://www.escolavirtual.gov.br/curso/266,Instituto Brasileiro de Museus - IBRAM,20h
296,Orçamento Público,Normal,https://www.escolavirtual.gov.br/curso/296,Secretaria de Orçamento Federal,40h
299,A Liderança Pública em Tempos de Crise,Normal,https://www.escolavirtual.gov.br/curso/299,Centro de Liderança Pública - CLP,10h
300,Gestão de Riscos em Processos de Trabalho (segundo o Coso),Normal,https://www.escolavirtual.gov.br/curso/300,Ministério da Fazenda,20h
293,Noções Básicas do Trabalho Remoto,Normal,https://www.escolavirtual.gov.br/curso/293,Endeavor,10h
271,Fundamentos e Metodologia da Educação Corporativa,Normal,https://www.escolavirtual.gov.br/curso/271,Secretaria Especial da Receita Federal do Brasil,40h
277,Introduction to competency-based management,Normal,https://www.escolavirtual.gov.br/curso/277,Secretaria Especial da Receita Federal do Brasil,40h
290,Proteção de Dados Pessoais no Setor Público,Normal,https://www.escolavirtual.gov.br/curso/290,Ministério da Fazenda,15h
265,Documentação de Acervo Museológico,Normal,https://www.escolavirtual.gov.br/curso/265,Instituto Brasileiro de Museus - IBRAM,40h
191,Supervisão de Estágio na Receita Federal do Brasil,Normal,https://www.escolavirtual.gov.br/curso/191,Secretaria Especial da Receita Federal do Brasil,8h
287,Boas Práticas de Manipulação em Serviços de Alimentação,Normal,https://www.escolavirtual.gov.br/curso/287,Anvisa,12h
286,S2ID - M1 - Usuário Municipal - Registro e Reconhecimento,Normal,https://www.escolavirtual.gov.br/curso/286,Ministério da Integração e Desenvolvimento Regional,40h
280,Controle Exercido por Conselhos de Assistência Social,Normal,https://www.escolavirtual.gov.br/curso/280,Tribunal de Contas da União,30h
278,Controles na Administração Pública,Normal,https://www.escolavirtual.gov.br/curso/278,Tribunal de Contas da União,30h
281,Estruturas de Gestão Pública,Normal,https://www.escolavirtual.gov.br/curso/281,Tribunal de Contas da União,30h
175,Gestão por Competências,Normal,https://www.escolavirtual.gov.br/curso/175,Secretaria Especial da Receita Federal do Brasil,40h
284,S2ID - M0 - Todos - Acesso ao Sistema,Normal,https://www.escolavirtual.gov.br/curso/284,Ministério da Integração e Desenvolvimento Regional,20h
283,Tesouro Gerencial,Normal,https://www.escolavirtual.gov.br/curso/283,Secretaria do Tesouro Nacional,60h
267,Conservação Preventiva para Acervos Museológicos,Normal,https://www.escolavirtual.gov.br/curso/267,Instituto Brasileiro de Museus - IBRAM,40h
276,Abertura de empresas: como redesenhar e simplificar processos,Normal,https://www.escolavirtual.gov.br/curso/276,Endeavor,20h
209,Normas Internacionais de Auditoria Financeira – NIA,Normal,https://www.escolavirtual.gov.br/curso/209,Controladoria Geral da União,40h
268,Acessibilidade em Museus,Normal,https://www.escolavirtual.gov.br/curso/268,Instituto Brasileiro de Museus - IBRAM,20h
269,Uma Introdução às Migrações Internacionais no Brasil Contemporâneo,Normal,https://www.escolavirtual.gov.br/curso/269,Defensoria Pública da União,40h
241,Para Fazer uma Exposição,Normal,https://www.escolavirtual.gov.br/curso/241,Instituto Brasileiro de Museus - IBRAM,20h
212,Siafi Básico,Normal,https://www.escolavirtual.gov.br/curso/212,Secretaria do Tesouro Nacional,35h
260,SIAFI Ordens Bancárias,Normal,https://www.escolavirtual.gov.br/curso/260,Secretaria do Tesouro Nacional,30h
261,Equilíbrio Fiscal,Normal,https://www.escolavirtual.gov.br/curso/261,Secretaria do Tesouro Nacional,40h
242,Fiscalização na Gestão do Patrimônio da União,Normal,https://www.escolavirtual.gov.br/curso/242,Secretaria do Patrimônio da União - SPU,45h
170,Gestão de Finanças Pessoais,Normal,https://www.escolavirtual.gov.br/curso/170,Banco Central do Brasil,20h
249,Me Poupe! Invista com Nathalia Arcuri,Normal,https://www.escolavirtual.gov.br/curso/249,Enap - Escola Nacional de Administração Pública,20h
259,Administração de Serviços na Nuvem de Governo,Normal,https://www.escolavirtual.gov.br/curso/259,Ministério da Fazenda,30h
258,Planejamento Governamental,Normal,https://www.escolavirtual.gov.br/curso/258,Tribunal de Contas da União,20h
247,Portal Gov.Br,Normal,https://www.escolavirtual.gov.br/curso/247,Ministério da Fazenda,15h
257,Gestão Orçamentária e Financeira,Normal,https://www.escolavirtual.gov.br/curso/257,Tribunal de Contas da União,20h
245,Programa de Leniência Antitruste do CADE,Normal,https://www.escolavirtual.gov.br/curso/245,Conselho Administrativo de Defesa Econômica - CADE,40h
251,"Formação de Multiplicadores da Série ""Eu e Meu Dinheiro""",Normal,https://www.escolavirtual.gov.br/curso/251,Banco Central do Brasil,10h
183,Noções Básicas em Previdência Complementar,Normal,https://www.escolavirtual.gov.br/curso/183,Enap - Escola Nacional de Administração Pública,25h
254,Sustentabilidade na Administração Pública,Normal,https://www.escolavirtual.gov.br/curso/254,Tribunal de Contas da União,28h
252,Mundo Conectado – Manual de Sobrevivência,Normal,https://www.escolavirtual.gov.br/curso/252,Tribunal de Contas da União,10h
250,Desenho Instrucional para Soluções de Capacitações Presenciais,Normal,https://www.escolavirtual.gov.br/curso/250,Enap - Escola Nacional de Administração Pública,40h
238,Atividade Correcional - Visão Geral,Normal,https://www.escolavirtual.gov.br/curso/238,Controladoria Geral da União,25h
201,Censo Cadastral Previdenciário,Normal,https://www.escolavirtual.gov.br/curso/201,Previdência Social,30h
244,Tesouro Direto,Normal,https://www.escolavirtual.gov.br/curso/244,Secretaria do Tesouro Nacional,20h
197,Funpresp para RH - A Previdência Complementar do Servidor Público Federal,Normal,https://www.escolavirtual.gov.br/curso/197,FUNPRESP - Fundação de Previdência Complementar do Servidor Público Federal do Poder Executivo,50h
237,Plano Museológico: Planejamento estratégico para museus,Normal,https://www.escolavirtual.gov.br/curso/237,Instituto Brasileiro de Museus - IBRAM,40h
236,Segurança do paciente e Qualidade em serviços de saúde,Normal,https://www.escolavirtual.gov.br/curso/236,Anvisa,100h
231,Demonstrativo de Informações Previdenciárias e Repasses (DIPR) e Parcelamento de débitos previdenciários dos RPPS,Normal,https://www.escolavirtual.gov.br/curso/231,Previdência Social,30h
235,MP 881: Liberdade Econômica e Aprovação Tácita,Normal,https://www.escolavirtual.gov.br/curso/235,Enap - Escola Nacional de Administração Pública,10h
234,Inovação Social para o Aperfeiçoamento de Políticas Públicas,Normal,https://www.escolavirtual.gov.br/curso/234,Presidência da República,40h
230,Demonstrativo do Resultado da Avaliação Atuarial - DRAA,Normal,https://www.escolavirtual.gov.br/curso/230,Enap - Escola Nacional de Administração Pública,60h
172,Educação Fiscal - Estado e Tributação,Normal,https://www.escolavirtual.gov.br/curso/172,Enap - Escola Nacional de Administração Pública,40h
184,Educação Fiscal - Orçamento e Coesão Social,Normal,https://www.escolavirtual.gov.br/curso/184,Enap - Escola Nacional de Administração Pública,40h
233,Resolução de Conflitos Aplicada ao Contexto das Ouvidorias do Ministério Público,Normal,https://www.escolavirtual.gov.br/curso/233,Controladoria Geral da União,20h
122,MROSC: Planejamento e Transparência,Normal,https://www.escolavirtual.gov.br/curso/122,Ministério da Fazenda,20h
228,Acesso à informação e Ouvidorias do Ministério Público,Normal,https://www.escolavirtual.gov.br/curso/228,Controladoria Geral da União,20h
202,Critérios do Certificado de Regularidade Previdenciária - CRP,Normal,https://www.escolavirtual.gov.br/curso/202,Enap - Escola Nacional de Administração Pública,60h
227,Gestão de Consultas e Normas GESCON - RPPS,Normal,https://www.escolavirtual.gov.br/curso/227,Enap - Escola Nacional de Administração Pública,40h
225,Demonstrativo de Investimentos do RPPS - DAIR E DPIN,Normal,https://www.escolavirtual.gov.br/curso/225,Enap - Escola Nacional de Administração Pública,30h
206,Pró-Gestão RPPS,Normal,https://www.escolavirtual.gov.br/curso/206,Enap - Escola Nacional de Administração Pública,30h
223,Introdução ao Sistema Sigepe - AFD,Normal,https://www.escolavirtual.gov.br/curso/223,Ministério da Fazenda,10h
219,eSocial para Órgãos Públicos - RPPS,Normal,https://www.escolavirtual.gov.br/curso/219,Previdência Social,20h
